date,cum_cases,new_cases
2020-01-03,0,0
2020-01-04,1,1
2020-01-05,1,0
2020-01-06,4,3
2020-01-07,4,0
2020-01-08,4,0
2020-01-09,4,0
2020-01-10,4,0
2020-01-11,4,0
2020-01-12,45,41
2020-01-13,46,1
2020-01-14,51,5
2020-01-15,51,0
2020-01-16,51,0
2020-01-17,52,1
2020-01-18,56,4
2020-01-19,137,81
2020-01-20,220,83
2020-01-21,313,93
2020-01-22,457,144
2020-01-23,587,130
2020-01-24,869,282
2020-01-25,1339,470
2020-01-26,2033,694
2020-01-27,2829,796
2020-01-28,4603,1774
2020-01-29,6094,1491
2020-01-30,7848,1754
2020-01-31,9863,2015
2020-02-01,11973,2110
2020-02-02,14581,2608
2020-02-03,17421,2840
2020-02-04,20669,3248
2020-02-05,25098,4429
2020-02-06,28829,3731
2020-02-07,32037,3208
2020-02-08,35445,3408
2020-02-09,38117,2672
2020-02-10,41185,3068
2020-02-11,43702,2517
2020-02-12,45783,2081
2020-02-13,60992,15209
2020-02-14,65073,4081
2020-02-15,67803,2730
2020-02-16,69914,2111
2020-02-17,72077,2163
2020-02-18,74086,2009
2020-02-19,75985,1899
2020-02-20,76412,427
2020-02-21,77451,1039
2020-02-22,78526,1075
2020-02-23,79570,1044
2020-02-24,80123,553
2020-02-25,80977,854
2020-02-26,81862,885
2020-02-27,82956,1094
2020-02-28,84385,1429
2020-02-29,86139,1754
2020-03-01,88020,1881
2020-03-02,89726,1706
2020-03-03,92110,2384
2020-03-04,95087,2977
2020-03-05,97638,2551
2020-03-06,101352,3714
2020-03-07,105254,3902
2020-03-08,109029,3775
2020-03-09,113025,3996
2020-03-10,118171,5146
2020-03-11,123891,5720
2020-03-12,132104,8213
2020-03-13,142134,10030
2020-03-14,153919,11785
2020-03-15,167038,13119
2020-03-16,180018,12980
2020-03-17,197422,17404
2020-03-18,216003,18581
2020-03-19,238877,22874
2020-03-20,271655,32778
2020-03-21,305990,34335
2020-03-22,341779,35789
2020-03-23,377895,36116
2020-03-24,421943,44048
2020-03-25,467656,45713
2020-03-26,521119,53463
2020-03-27,580698,59579
2020-03-28,648960,68262
2020-03-29,714947,65987
2020-03-30,775128,60181
2020-03-31,836258,61130
2020-04-01,909850,73592
2020-04-02,982799,72949
2020-04-03,1059894,77095
2020-04-04,1141753,81859
2020-04-05,1219892,78139
2020-04-06,1291836,71944
2020-04-07,1361836,70000
2020-04-08,1435778,73942
2020-04-09,1516995,81217
2020-04-10,1604719,87724
2020-04-11,1694273,89554
2020-04-12,1774357,80084
2020-04-13,1848208,73851
2020-04-14,1915560,67352
2020-04-15,1986602,71042
2020-04-16,2060944,74342
2020-04-17,2140221,79277
2020-04-18,2223504,83283
2020-04-19,2305060,81556
2020-04-20,2377147,72087
2020-04-21,2451703,74556
2020-04-22,2526631,74928
2020-04-23,2600397,73766
2020-04-24,2683609,83212
2020-04-25,2780304,96695
2020-04-26,2862522,82218
2020-04-27,2942681,80159
2020-04-28,3014202,71521
2020-04-29,3084622,70420
2020-04-30,3161097,76475
2020-05-01,3245524,84427
2020-05-02,3335175,89651
2020-05-03,3420501,85326
2020-05-04,3501314,80813
2020-05-05,3580892,79578
2020-05-06,3657244,76352
2020-05-07,3740636,83392
2020-05-08,3829598,88962
2020-05-09,3926033,96435
2020-05-10,4016241,90208
2020-05-11,4102565,86324
2020-05-12,4176206,73641
2020-05-13,4256301,80095
2020-05-14,4342814,86513
2020-05-15,4435900,93086
2020-05-16,4533764,97864
2020-05-17,4633387,99623
2020-05-18,4729319,95932
2020-05-19,4808870,79551
2020-05-20,4903438,94568
2020-05-21,5007070,103632
2020-05-22,5115231,108161
2020-05-23,5223925,108694
2020-05-24,5331893,107968
2020-05-25,5427883,95990
2020-05-26,5522311,94428
2020-05-27,5610384,88073
2020-05-28,5707438,97054
2020-05-29,5818710,111272
2020-05-30,5940492,121782
2020-05-31,6061795,121303
2020-06-01,6190279,128484
2020-06-02,6297547,107268
2020-06-03,6396577,99030
2020-06-04,6522067,125490
2020-06-05,6649700,127633
2020-06-06,6780710,131010
2020-06-07,6913747,133037
2020-06-08,7039432,125685
2020-06-09,7148161,108729
2020-06-10,7257143,108982
2020-06-11,7389895,132752
2020-06-12,7532397,142502
2020-06-13,7675574,143177
2020-06-14,7821063,145489
2020-06-15,7953581,132518
2020-06-16,8070782,117201
2020-06-17,8197065,126283
2020-06-18,8379806,182741
2020-06-19,8529061,149255
2020-06-20,8678114,149053
2020-06-21,8862859,184745
2020-06-22,9020365,157506
2020-06-23,9151662,131297
2020-06-24,9292883,141221
2020-06-25,9467100,174217
2020-06-26,9649474,182374
2020-06-27,9842269,192795
2020-06-28,10043080,200811
2020-06-29,10225938,182858
2020-06-30,10387771,161833
2020-07-01,10559615,171844
2020-07-02,10742031,182416
2020-07-03,10956715,214684
2020-07-04,11174445,217730
2020-07-05,11392757,218312
2020-07-06,11588059,195302
2020-07-07,11755240,167181
2020-07-08,11929048,173808
2020-07-09,12147838,218790
2020-07-10,12379427,231589
2020-07-11,12610555,231128
2020-07-12,12852200,241645
2020-07-13,13074581,222381
2020-07-14,13269305,194724
2020-07-15,13459152,189847
2020-07-16,13692660,233508
2020-07-17,13941419,248759
2020-07-18,14194303,252884
2020-07-19,14443225,248922
2020-07-20,14674082,230857
2020-07-21,14877314,203232
2020-07-22,15087658,210344
2020-07-23,15337826,250168
2020-07-24,15626218,288392
2020-07-25,15912209,285991
2020-07-26,16187876,275667
2020-07-27,16437112,249236
2020-07-28,16650567,213455
2020-07-29,16876526,225959
2020-07-30,17139199,262673
2020-07-31,17441119,301920
2020-08-01,17735911,294792
2020-08-02,18020780,284869
2020-08-03,18275883,255103
2020-08-04,18494762,218879
2020-08-05,18713374,218612
2020-08-06,18987698,274324
2020-08-07,19282915,295217
2020-08-08,19572445,289530
2020-08-09,19861446,289001
2020-08-10,20121751,260305
2020-08-11,20337030,215279
2020-08-12,20567523,230493
2020-08-13,20855696,288173
2020-08-14,21144669,288973
2020-08-15,21444187,299518
2020-08-16,21729854,285667
2020-08-17,21978774,248920
2020-08-18,22195838,217064
2020-08-19,22424407,228569
2020-08-20,22706499,282092
2020-08-21,22993207,286708
2020-08-22,23273154,279947
2020-08-23,23539030,265876
2020-08-24,23797496,258466
2020-08-25,24015525,218029
2020-08-26,24247765,232240
2020-08-27,24534973,287208
2020-08-28,24823456,288483
2020-08-29,25114770,291314
2020-08-30,25406751,291981
2020-08-31,25679636,272885
2020-09-01,25900602,220966
2020-09-02,26174136,273534
2020-09-03,26465440,291304
2020-09-04,26765416,299976
2020-09-05,27064611,299195
2020-09-06,27385873,321262
2020-09-07,27654486,268613
2020-09-08,27882910,228424
2020-09-09,28124733,241823
2020-09-10,28399826,275093
2020-09-11,28706427,306601
2020-09-12,29014877,308450
2020-09-13,29338337,323460
2020-09-14,29630080,291743
2020-09-15,29882215,252135
2020-09-16,30155327,273112
2020-09-17,30470342,315015
2020-09-18,30791612,321270
2020-09-19,31107096,315484
2020-09-20,31443326,336230
2020-09-21,31735338,292012
2020-09-22,31981961,246623
2020-09-23,32258837,276876
2020-09-24,32585561,326724
2020-09-25,32901515,315954
2020-09-26,33217847,316332
2020-09-27,33544929,327082
2020-09-28,33832350,287421
2020-09-29,34081205,248855
2020-09-30,34366006,284801
2020-10-01,34698065,332059
2020-10-02,35030229,332164
2020-10-03,35356428,326199
2020-10-04,35696187,339759
2020-10-05,36000444,304257
2020-10-06,36269681,269237
2020-10-07,36581232,311551
2020-10-08,36957674,376442
2020-10-09,37322127,364453
2020-10-10,37686823,364696
2020-10-11,38070339,383516
2020-10-12,38406597,336258
2020-10-13,38719204,312607
2020-10-14,39062431,343227
2020-10-15,39447454,385023
2020-10-16,39847095,399641
2020-10-17,40250832,403737
2020-10-18,40686983,436151
2020-10-19,41065898,378915
2020-10-20,41422109,356211
2020-10-21,41858304,436195
2020-10-22,42342914,484610
2020-10-23,42819935,477021
2020-10-24,43289161,469226
2020-10-25,43809210,520049
2020-10-26,44259270,450060
2020-10-27,44673706,414436
2020-10-28,45176246,502540
2020-10-29,45721402,545156
2020-10-30,46258172,536770
2020-10-31,46781090,522918
2020-11-01,47343524,562434
2020-11-02,47828872,485348
2020-11-03,48343637,514765
2020-11-04,48860504,516867
2020-11-05,49433201,572697
2020-11-06,50007364,574163
2020-11-07,50591366,584002
2020-11-08,51160830,569464
2020-11-09,51690992,530162
2020-11-10,52139016,448024
2020-11-11,52696727,557711
2020-11-12,53312800,616073
2020-11-13,53958613,645813
2020-11-14,54584583,625970
2020-11-15,55215944,631361
2020-11-16,55763227,547283
2020-11-17,56248759,485532
2020-11-18,56793818,545059
2020-11-19,57426606,632788
2020-11-20,58068608,642002
2020-11-21,58712282,643674
2020-11-22,59350792,638510
2020-11-23,59899512,548720
2020-11-24,60389434,489922
2020-11-25,60957279,567845
2020-11-26,61568337,611058
2020-11-27,62238229,669892
2020-11-28,62842388,604159
2020-11-29,63438390,596002
2020-11-30,63966190,527800
2020-12-01,64451146,484956
2020-12-02,64999203,548057
2020-12-03,65659399,660196
2020-12-04,66348135,688736
2020-12-05,67041285,693150
2020-12-06,67722951,681666
2020-12-07,68311684,588733
2020-12-08,68830544,518860
2020-12-09,69406321,575777
2020-12-10,70082695,676374
2020-12-11,70776025,693330
2020-12-12,71459047,683022
2020-12-13,72157466,698419
2020-12-14,72762037,604571
2020-12-15,73288007,525970
2020-12-16,73904029,616022
2020-12-17,74565851,661822
2020-12-18,75298887,733036
2020-12-19,76019601,720714
2020-12-20,76707764,688163
2020-12-21,77294361,586597
2020-12-22,77825393,531032
2020-12-23,78413063,587670
2020-12-24,79080329,667266
2020-12-25,79779009,698680
2020-12-26,80394585,615576
2020-12-27,80848675,454090
2020-12-28,81294540,445865
2020-12-29,81755606,461066
2020-12-30,82352927,597321
2020-12-31,83106008,753081
2021-01-01,83898836,792828
2021-01-02,84579692,680856
2021-01-03,85144977,565285
2021-01-04,85688789,543812
2021-01-05,86233461,544672
2021-01-06,86904639,671178
2021-01-07,87705884,801245
2021-01-08,88519307,813423
2021-01-09,89348415,829108
2021-01-10,90139353,790938
2021-01-11,90812992,673639
2021-01-12,91394895,581903
2021-01-13,92038086,643191
2021-01-14,92768364,730278
2021-01-15,93509097,740733
2021-01-16,94220702,711605
2021-01-17,94943126,722424
2021-01-18,95542773,599647
2021-01-19,96052828,510055
2021-01-20,96601902,549074
2021-01-21,97229626,627724
2021-01-22,97887428,657802
2021-01-23,98515025,627597
2021-01-24,99141752,626727
2021-01-25,99665661,523909
2021-01-26,100095546,429885
2021-01-27,100589884,494338
2021-01-28,101175805,585921
2021-01-29,101770597,594792
2021-01-30,102321429,550832
2021-01-31,102875448,554019
2021-02-01,103330923,455475
2021-02-02,103702664,371741
2021-02-03,104135355,432691
2021-02-04,104631255,495900
2021-02-05,105113762,482507
2021-02-06,105582568,468806
2021-02-07,106035823,453255
2021-02-08,106418149,382326
2021-02-09,106737939,319790
2021-02-10,107093996,356057
2021-02-11,107510707,416711
2021-02-12,107935213,424506
2021-02-13,108337191,401978
2021-02-14,108737125,399934
2021-02-15,109064025,326900
2021-02-16,109352084,288059
2021-02-17,109680168,328084
2021-02-18,110055402,375234
2021-02-19,110439491,384089
2021-02-20,110813076,373585
2021-02-21,111191234,378158
2021-02-22,111534371,343137
2021-02-23,111839550,305179
2021-02-24,112187830,348280
2021-02-25,112607076,419246
2021-02-26,113027690,420614
2021-02-27,113433412,405722
2021-02-28,113834723,401311
2021-03-01,114190168,355445
2021-03-02,114496182,306014
2021-03-03,114857734,361552
2021-03-04,115279732,421998
2021-03-05,115704147,424415
2021-03-06,116114686,410539
2021-03-07,116556944,442258
2021-03-08,116921202,364258
2021-03-09,117284151,362949
2021-03-10,117653270,369119
2021-03-11,118107673,454403
2021-03-12,118574367,466694
2021-03-13,119032146,457779
2021-03-14,119508769,476623
2021-03-15,119913913,405144
2021-03-16,120274774,360861
2021-03-17,120695521,420747
2021-03-18,121223980,528459
2021-03-19,121762800,538820
2021-03-20,122286099,523299
2021-03-21,122821508,535409
2021-03-22,123299063,477555
2021-03-23,123732782,433719
2021-03-24,124233772,500990
2021-03-25,124828500,594728
2021-03-26,125437504,609004
2021-03-27,126025599,588095
2021-03-28,126634505,608906
2021-03-29,127174415,539910
2021-03-30,127648555,474140
2021-03-31,128181506,532951
2021-04-01,128827867,646361
2021-04-02,129485887,658020
2021-04-03,130122562,636675
2021-04-04,130691831,569269
2021-04-05,131242346,550515
2021-04-06,131725093,482747
2021-04-07,132288596,563503
2021-04-08,133007304,718708
2021-04-09,133760019,752715
2021-04-10,134490227,730208
2021-04-11,135244473,754246
2021-04-12,135919630,675157
2021-04-13,136527597,607967
2021-04-14,137224122,696525
2021-04-15,138030171,806049
2021-04-16,138830855,800684
2021-04-17,139623939,793084
2021-04-18,140463350,839411
2021-04-19,141216478,753128
2021-04-20,141920326,703848
2021-04-21,142676114,755788
2021-04-22,143559949,883835
2021-04-23,144454285,894336
2021-04-24,145291902,837617
2021-04-25,146148006,856104
2021-04-26,146939457,791451
2021-04-27,147632612,693155
2021-04-28,148394613,762001
2021-04-29,149271002,876389
2021-04-30,150142657,871655
2021-05-01,151005786,863129
2021-05-02,151841480,835694
2021-05-03,152590871,749391
2021-05-04,153262062,671191
2021-05-05,153986333,724271
2021-05-06,154839212,852879
2021-05-07,155676452,837240
2021-05-08,156491318,814866
2021-05-09,157307194,815876
2021-05-10,158016953,709759
2021-05-11,158646007,629054
2021-05-12,159286785,640778
2021-05-13,160039742,752957
2021-05-14,160760580,720838
2021-05-15,161442136,681556
2021-05-16,162111539,669403
2021-05-17,162715968,604429
2021-05-18,163246832,530864
2021-05-19,163807984,561152
2021-05-20,164454353,646369
2021-05-21,165089599,635246
2021-05-22,165720238,630639
2021-05-23,166310232,589994
2021-05-24,166844176,533944
2021-05-25,167289657,445481
2021-05-26,167755880,466223
2021-05-27,168308297,552417
2021-05-28,168860490,552193
2021-05-29,169386586,526096
2021-05-30,169861457,474871
2021-05-31,170320811,459354
2021-06-01,170692698,371887
2021-06-02,171083156,390458
2021-06-03,171549860,466704
2021-06-04,172035519,485659
2021-06-05,172493013,457494
2021-06-06,172888544,395531
2021-06-07,173267526,378982
2021-06-08,173576097,308571
